flip_y,seed,N_original,mu_Se_oracle,mu_Sp_oracle,std_Se_oracle,E1_LR,collapse,n_type_A,fraction_removed,frac_A_LR,frac_B_LR,frac_C_LR,mu_Se_noisy,mu_Sp_noisy,std_Se_noisy,N_clean,mu_Se_clean,mu_Sp_clean,std_Se_clean,skip_reason
0.1500,3,1000,0.9227,0.9217,0.0025,0.1460,False,142,0.1420,0.1420,0.0030,0.8550,0.8576,0.8556,0.0035,858,0.9380,0.9356,0.0023,
0.1500,4,1000,0.8993,0.9107,0.0029,0.1650,False,160,0.1600,0.1600,0.0020,0.8380,0.8386,0.8464,0.0036,840,0.9266,0.9229,0.0025,
0.1500,5,1000,0.9242,0.9172,0.0025,0.1120,False,108,0.1080,0.1080,0.0030,0.8890,0.8540,0.8506,0.0036,892,0.9282,0.9265,0.0025,
0.2000,0,1000,0.8970,0.8794,0.0029,0.2360,False,221,0.2210,0.2210,0.0080,0.7710,0.8372,0.8353,0.0038,779,0.9085,0.9021,0.0028,
0.2000,1,1000,0.9232,0.9331,0.0025,0.1280,False,127,0.1270,0.1270,0.0010,0.8720,0.8464,0.8440,0.0036,873,0.9329,0.9351,0.0025,
0.2000,2,1000,0.9173,0.9252,0.0026,0.1600,False,154,0.1540,0.1540,0.0040,0.8420,0.8491,0.8512,0.0036,846,0.9357,0.9400,0.0023,
0.2000,3,1000,0.9228,0.9217,0.0025,0.1530,False,146,0.1460,0.1460,0.0020,0.8520,0.8585,0.8435,0.0035,854,0.9377,0.9336,0.0023,
0.2000,4,1000,0.8993,0.9107,0.0030,0.1960,False,188,0.1880,0.1880,0.0040,0.8080,0.8269,0.8264,0.0039,812,0.9221,0.9200,0.0025,
0.2000,5,1000,0.9243,0.9173,0.0025,0.1400,False,135,0.1350,0.1350,0.0030,0.8620,0.8323,0.8335,0.0039,865,0.9294,0.9266,0.0024,
0.2500,0,1000,0.8968,0.8797,0.0029,0.2720,False,259,0.2590,0.2590,0.0060,0.7350,0.8088,0.8178,0.0039,741,0.9057,0.8987,0.0030,
0.2500,1,1000,0.9231,0.9332,0.0025,0.1590,False,154,0.1540,0.1540,0.0010,0.8450,0.8340,0.8301,0.0039,846,0.9311,0.9342,0.0025,
0.2500,2,1000,0.9173,0.9253,0.0027,0.1940,False,180,0.1800,0.1800,0.0070,0.8130,0.8319,0.8323,0.0040,820,0.9350,0.9402,0.0025,
0.2500,3,1000,0.9227,0.9217,0.0026,0.1870,False,177,0.1770,0.1770,0.0060,0.8170,0.8299,0.8163,0.0039,823,0.9339,0.9295,0.0025,
0.2500,4,1000,0.8993,0.9107,0.0030,0.2230,False,212,0.2120,0.2120,0.0060,0.7820,0.8119,0.8193,0.0039,788,0.9227,0.9211,0.0026,
0.2500,5,1000,0.9242,0.9173,0.0026,0.1610,False,152,0.1520,0.1520,0.0040,0.8440,0.8317,0.8295,0.0039,848,0.9230,0.9241,0.0027,
0.3000,0,1000,0.8969,0.8796,0.0030,0.2730,False,254,0.2540,0.2540,0.0140,0.7320,0.7998,0.8030,0.0041,746,0.8976,0.8931,0.0030,
0.3000,1,1000,0.9230,0.9335,0.0026,0.1800,False,176,0.1760,0.1760,0.0020,0.8220,0.8130,0.8153,0.0039,824,0.9283,0.9336,0.0025,
0.3000,2,1000,0.9172,0.9256,0.0027,0.2080,False,199,0.1990,0.1990,0.0030,0.7980,0.8128,0.8209,0.0041,801,0.9357,0.9412,0.0023,
0.3000,3,1000,0.9227,0.9217,0.0027,0.2320,False,223,0.2230,0.2230,0.0060,0.7710,0.8083,0.7978,0.0041,777,0.9321,0.9289,0.0024,
0.3000,4,1000,0.8992,0.9108,0.0029,0.2430,False,228,0.2280,0.2280,0.0040,0.7680,0.7994,0.8030,0.0041,772,0.9161,0.9134,0.0027,
0.3000,5,1000,0.9244,0.9170,0.0025,0.1870,False,180,0.1800,0.1800,0.0040,0.8160,0.8098,0.8213,0.0040,820,0.9245,0.9253,0.0025,
