flip_y,seed,N_original,mu_Se_oracle,mu_Sp_oracle,std_Se_oracle,E1_LR,collapse,n_type_A,fraction_removed,frac_A_LR,frac_B_LR,frac_C_LR,mu_Se_noisy,mu_Sp_noisy,std_Se_noisy,N_clean,mu_Se_clean,mu_Sp_clean,std_Se_clean,skip_reason
0.0000,0,1000,0.8969,0.8796,0.0029,0.1890,False,176,0.1760,0.1760,0.0080,0.8160,0.8969,0.8797,0.0029,824,0.9175,0.9089,0.0027,
0.0000,1,1000,0.9232,0.9332,0.0025,0.0230,False,23,0.0230,0.0230,0.0000,0.9770,0.9232,0.9332,0.0025,977,0.9341,0.9381,0.0024,
0.0000,2,1000,0.9173,0.9252,0.0026,0.0840,False,81,0.0810,0.0810,0.0000,0.9190,0.9173,0.9252,0.0026,919,0.9390,0.9458,0.0023,
0.0000,3,1000,0.9227,0.9217,0.0026,0.0700,False,63,0.0630,0.0630,0.0040,0.9330,0.9227,0.9217,0.0025,937,0.9391,0.9390,0.0023,
0.0000,4,1000,0.8993,0.9107,0.0030,0.0960,False,94,0.0940,0.0940,0.0010,0.9050,0.8992,0.9108,0.0029,906,0.9300,0.9291,0.0025,
0.0000,5,1000,0.9243,0.9172,0.0025,0.0330,False,33,0.0330,0.0330,0.0000,0.9670,0.9243,0.9173,0.0026,967,0.9312,0.9297,0.0024,
0.0500,0,1000,0.8968,0.8797,0.0030,0.2030,False,191,0.1910,0.1910,0.0060,0.8030,0.8751,0.8676,0.0033,809,0.9173,0.9091,0.0027,
0.0500,1,1000,0.9231,0.9332,0.0025,0.0470,False,46,0.0460,0.0460,0.0010,0.9530,0.9003,0.9085,0.0029,954,0.9362,0.9391,0.0023,
0.0500,2,1000,0.9173,0.9256,0.0026,0.0970,False,92,0.0920,0.0920,0.0040,0.9040,0.8983,0.9088,0.0029,908,0.9386,0.9440,0.0023,
0.0500,3,1000,0.9228,0.9217,0.0026,0.0940,False,91,0.0910,0.0910,0.0000,0.9090,0.9034,0.8942,0.0029,909,0.9405,0.9385,0.0023,
0.0500,4,1000,0.8993,0.9107,0.0030,0.1220,False,117,0.1170,0.1170,0.0010,0.8820,0.8759,0.8852,0.0033,883,0.9273,0.9241,0.0025,
0.0500,5,1000,0.9244,0.9171,0.0026,0.0540,False,52,0.0520,0.0520,0.0010,0.9470,0.9011,0.8961,0.0029,948,0.9313,0.9291,0.0024,
0.1000,0,1000,0.8968,0.8796,0.0029,0.2170,False,205,0.2050,0.2050,0.0080,0.7870,0.8620,0.8549,0.0035,795,0.9122,0.9078,0.0027,
0.1000,1,1000,0.9232,0.9332,0.0026,0.0810,False,79,0.0790,0.0790,0.0010,0.9200,0.8781,0.8790,0.0034,921,0.9356,0.9367,0.0023,
0.1000,2,1000,0.9173,0.9252,0.0028,0.1330,False,124,0.1240,0.1240,0.0060,0.8700,0.8679,0.8654,0.0034,876,0.9325,0.9400,0.0024,
0.1000,3,1000,0.9227,0.9217,0.0025,0.1200,False,114,0.1140,0.1140,0.0040,0.8820,0.8826,0.8658,0.0031,886,0.9422,0.9385,0.0022,
0.1000,4,1000,0.8993,0.9107,0.0030,0.1340,False,127,0.1270,0.1270,0.0030,0.8700,0.8632,0.8749,0.0035,873,0.9265,0.9246,0.0025,
0.1000,5,1000,0.9244,0.9170,0.0026,0.0730,False,71,0.0710,0.0710,0.0010,0.9280,0.8755,0.8774,0.0034,929,0.9281,0.9253,0.0024,
0.1500,0,1000,0.8968,0.8796,0.0029,0.2280,False,216,0.2160,0.2160,0.0050,0.7790,0.8385,0.8462,0.0039,784,0.9100,0.9089,0.0029,
0.1500,1,1000,0.9231,0.9332,0.0025,0.1070,False,106,0.1060,0.1060,0.0000,0.8940,0.8595,0.8603,0.0034,894,0.9337,0.9370,0.0024,
0.1500,2,1000,0.9173,0.9256,0.0027,0.1490,False,141,0.1410,0.1410,0.0050,0.8540,0.8572,0.8572,0.0034,859,0.9328,0.9404,0.0025,
