arch,flip_y,seed,mu_Se,mu_Se_std,mu_Sp,mu_Sp_std,mu_avg,kappa_Se,kappa_Se_std,kappa_Sp,kappa_Sp_std,kappa_avg,kappa_avg_std,kappa_obs,kappa_obs_std,cv_recall,cv_f1,cv_acc
LR,0.1,0,0.782000895075,0.00605262854285398,0.7804789837849999,0.006391659760560861,0.78123993943,147.79337405475002,35.22941845111808,134.49099091550005,32.67924770393386,141.14218248512498,23.863214208595252,2.7170420949,0.019831714259120642,0.8510204081632654,0.8496532900883043,0.853
LR,0.1,1,0.8517591940899999,0.005224601582693585,0.8716038214049999,0.005129731671323777,0.8616815077475001,139.01028120124997,32.639401816842785,138.138039456,33.11228965148953,138.574160328625,23.53781355966158,3.9343539841000004,0.03266268868515056,0.944,0.9393804441575055,0.9390000000000001
LR,0.1,2,0.8319904433825,0.0057530754688013995,0.8039930101749999,0.005825763064059658,0.81799172677875,131.76135837325,31.242958525441395,140.54846949400002,33.09228848981331,136.154913933625,22.889807475108253,3.0575226454,0.023300761492901764,0.8910891089108912,0.9034429886309671,0.9040000000000001
LR,0.1,3,0.8504448289825,0.005191325579903623,0.8425467871675001,0.005512484617923877,0.846495808075,144.73004092175,34.00504419236122,136.2689309695,32.19362726589197,140.499485945625,23.514212415307323,3.21721204945,0.026071396337135254,0.9176470588235294,0.9205726766862552,0.9189999999999999
LR,0.1,4,0.82062873093,0.005565684227080421,0.8605948279425,0.005057709097272157,0.84061177943625,145.8678227505,33.583820102296905,143.91974273925,34.49920444405557,144.893782744875,23.81519671997751,3.3393878879,0.026422042399523803,0.9241386138613862,0.9077572833799732,0.906
RF,0.1,0,0.8891211283025,0.004417637942583276,0.8862120295750001,0.004656307294799551,0.88766657893875,161.63306663025,39.180851130749325,159.61192223725,36.5165204368356,160.62249443374998,26.777520474436006,3.99920467465,0.03475330751924459,0.9183673469387754,0.9287425075224638,0.9309999999999998
RF,0.1,1,0.8998662216300001,0.00416229882367924,0.896297773905,0.004206024442639992,0.8980819977675001,162.29961587525003,39.146105674571906,160.41885969275,36.89334834752532,161.359237784,26.787633100615075,3.68858501355,0.033505871117440245,0.942,0.9383131047081882,0.938
RF,0.1,2,0.8886135073400001,0.004272266645719978,0.8845111038175,0.00430183456764492,0.88656230557875,168.13904834775,41.27173387858381,161.26278974625,38.36911588741969,164.700919047,27.92149028960706,3.2946039039749997,0.028432018356846334,0.9168316831683168,0.9185100585674411,0.9179999999999999
RF,0.1,3,0.9028107463374999,0.004278709147925431,0.88276631707,0.004646767233516707,0.89278853170375,160.98038964449998,38.10738032070851,158.06791673,37.21589363764335,159.52415318725,26.480314086430507,3.3578488667499995,0.030009663578026907,0.9196078431372549,0.933379665485964,0.933
RF,0.1,4,0.8888755634975001,0.004388094431622796,0.8991546570600001,0.0041981201827058084,0.89401511027875,163.414091174,38.793931216794576,164.71228198974998,39.71914071730701,164.063186581875,27.440163368322374,3.7425309082,0.033852500601402075,0.9360396039603959,0.9348677545718378,0.9349999999999999
SVM,0.1,0,0.89639869861,0.00449858898381585,0.884281003145,0.004620444169597309,0.8903398508774999,146.24642932524998,34.08467753816298,154.26141426125,36.13660376664065,150.25392179325002,24.97509477096522,5.166999388524999,0.04273527862438152,0.9387755102040817,0.9368303940551572,0.9380000000000001
SVM,0.1,1,0.8879825847475,0.004788798074898119,0.8946136410675,0.0045046196545966,0.8912981129074999,145.99159791375,34.57797086658329,144.0804215755,34.0376335529175,145.036009744625,24.075103097054686,6.8626177853,0.056090754610544004,0.9480000000000001,0.946194971978148,0.9460000000000001
SVM,0.1,2,0.8740298875225001,0.0047979943779613106,0.8623619587225001,0.005015348327850648,0.8681959231224999,149.72627759124998,36.267569830943984,143.5804074735,33.489714998423814,146.653342532375,24.358321289511817,5.20214493925,0.04090117992592591,0.9247524752475247,0.9263926957790721,0.9259999999999999
SVM,0.1,3,0.8800005459175,0.0047820149938870285,0.85464521982,0.005430651678652546,0.8673228828687499,150.23924119725,35.328921715878536,142.80859943925,34.16175565791942,146.52392031825002,24.73436874596136,4.4313280466750005,0.03635389936793506,0.9333333333333333,0.9445401942082409,0.944
SVM,0.1,4,0.892668166035,0.004454292132563094,0.897722936765,0.004486749530306176,0.8951955514000001,156.46224752175,36.18037665172118,148.63318176500002,36.173481008242334,152.54771464337503,25.479121596878098,5.817240437250001,0.04891439206959371,0.9400396039603962,0.9425953953359342,0.943
GB,0.1,0,0.87872149729,0.004439500020403971,0.8751530565325,0.004766884186160924,0.87693727691125,159.51575901575,37.615922934635705,156.13757143125002,37.3163598694557,157.8266652235,26.909467669473127,5.88430054785,0.04799819975139803,0.9122448979591837,0.9189042437728545,0.921
GB,0.1,1,0.8989507452925,0.004150648447213196,0.8973044245774999,0.004284841397474996,0.898127584935,160.02619024024997,37.61750828700177,158.51462661425,37.7821960235564,159.27040842724998,26.44974201886722,5.490996599225,0.04634030225642585,0.924,0.9240597177551176,0.924
GB,0.1,2,0.8817673470449999,0.004588110474606701,0.8733716269399999,0.0047858216049190905,0.8775694869924999,156.596554981,36.661082230926255,156.82749007574998,37.064618128894935,156.712022528375,25.677084286197953,4.872867428725,0.03977389882408075,0.8990099009900991,0.9051420665885583,0.905
GB,0.1,3,0.898179032745,0.004284216745817135,0.886968986785,0.0046630771052707624,0.8925740097649999,157.77005567525,37.747202508313435,153.79248196125002,36.351579236806295,155.78126881825,26.085617386034066,5.06536300245,0.042385660511469664,0.9098039215686274,0.9207305785227128,0.9199999999999999
GB,0.1,4,0.8917532350225,0.004321036580471854,0.8959553780475,0.00415281677125691,0.893854306535,162.1826801515,38.256885915532436,163.59120690925,38.97296546434639,162.886943530375,27.259917984057793,5.631869112724998,0.046605116525425,0.934079207920792,0.9256659016960894,0.925
MLP,0.1,0,0.8934390549675,0.004388128869611945,0.8936917759324999,0.004320842201249535,0.89356541545,169.54097704475,40.30112676963428,170.31930588425,41.89415751688333,169.93014146450002,28.781753727633124,1.3653144814,0.014034386239283107,0.9061224489795918,0.9134386606840803,0.916
MLP,0.1,1,0.8924832959375001,0.004324700768876149,0.89169692396,0.004344644979592874,0.8920901099487499,168.213464431,39.974288088292184,170.01130843274998,40.30268531137209,169.112386431875,28.509550186353884,1.3715973124,0.014284332203763718,0.9119999999999999,0.9082236960702097,0.9080000000000001
MLP,0.1,2,0.8798165867075,0.004581872944166063,0.8778198257874998,0.004534912125446309,0.8788182062475001,169.56854367399998,40.35026179041148,169.45343526199997,39.5035613649136,169.510989468,28.230789179568216,1.2257819300500001,0.01213806553923532,0.9029702970297031,0.9041655501481476,0.9039999999999999
MLP,0.1,3,0.89294317644,0.004269020253168714,0.8885238381499999,0.004460343911484553,0.890733507295,171.21463633125,39.5887436659209,167.14985128625,41.02326231975036,169.18224380875,28.608744426405234,1.3364732427500001,0.013739378698105216,0.907843137254902,0.9124490976486379,0.9109999999999999
MLP,0.1,4,0.8962024803925,0.004296626762721603,0.89677856668,0.004121096615366494,0.89649052353625,169.997251195,40.840267357243555,171.40021607075,41.36424395882294,170.69873363287502,29.666084807531533,1.426773678725,0.015013362340485054,0.9060792079207921,0.9188115894092264,0.9199999999999999
LR,0.3,0,0.6899338248649999,0.0067261264406743,0.6991440187325001,0.006853862599313111,0.6945389217987499,146.55535531824998,35.03041247707521,138.25478334199997,33.14181223002108,142.405069330125,23.852164284126875,4.4040970881499995,0.030561404540586385,0.7582903780068728,0.770355508456019,0.781
LR,0.3,1,0.7299069346575,0.006679715556142877,0.739924629495,0.006838946447036199,0.7349157820762501,137.590933564,33.085419796792955,130.40429047625,29.994056338688175,133.99761202012502,22.503310945642262,4.299291809375,0.030876853736652794,0.8421150278293135,0.8360861996444156,0.8370000000000001
LR,0.3,2,0.72621350372,0.006711738604091406,0.73053000948,0.0062630732968451145,0.7283717566,129.4384010805,31.088346060262616,151.09186031575,34.386613114011716,140.265130698125,23.565827097149118,4.4299787282,0.031874416545746284,0.8068282828282829,0.81403483521068,0.818
LR,0.3,3,0.7174493571949999,0.00647468280457439,0.7065518115525,0.006685004445146847,0.7120005843737499,150.625885978,36.75479503547864,146.08620535525,34.51525230058736,148.356045666625,25.401267684341164,4.739006599325001,0.03340471113815957,0.7980198019801981,0.7984751196259707,0.797
LR,0.3,4,0.695439965455,0.006660734798787127,0.7221032107225,0.006938061488131779,0.7087715880887501,142.9457750575,33.423688140644735,139.0504319075,32.81814859007507,140.9981034825,23.641080755347534,4.2763361171500005,0.029791516177609292,0.8203762376237623,0.7950310137300755,0.788
RF,0.3,0,0.81330910128,0.005517275716855086,0.8156235769575,0.005455082479203121,0.8144663391187501,161.921238194,38.31287184345182,159.58625653874998,37.14640277424735,160.753747366375,26.022736567849165,3.296842959675,0.02487438778869103,0.7974226804123712,0.8113293957055646,0.8210000000000001
RF,0.3,1,0.8275805819550001,0.005123209649247708,0.8224230852625,0.005587723746094571,0.8250018336087501,160.1947867945,37.06329361730923,160.10166394300003,38.23045140728266,160.14822536875,26.793132646767855,3.2077298117249997,0.025071837407421298,0.84011544011544,0.8351346935760768,0.836
RF,0.3,2,0.823779705425,0.0056073189956994,0.8313365390149999,0.005164972942436895,0.82755812222,148.63334908325,34.16241657013806,159.00165696575,37.43413852507437,153.8175030245,25.303319727726453,3.0371675130000004,0.023861049832083998,0.8289696969696969,0.8290299395353772,0.8310000000000001
RF,0.3,3,0.8156831141249999,0.005460451436271289,0.8057762529325,0.0056760275927117,0.81072968352875,154.6896463555,36.4066355951442,155.47647413525002,37.62600346995612,155.083060245375,26.43435340271001,3.008139449425,0.023289709483698476,0.7940594059405941,0.8073018022403134,0.8089999999999999
RF,0.3,4,0.81169771941,0.005548007716632278,0.8188193418099999,0.005678626617824756,0.81525853061,151.52477462899998,36.37296213575297,154.999582798,35.85264906808865,153.26217871349996,25.410268067726037,3.1878471201000003,0.024628399010003185,0.8223366336633664,0.8189483047363322,0.818
SVM,0.3,0,0.7470746123425,0.006174585942602313,0.7580154790525,0.006259070555313172,0.7525450456975,156.001943954,37.04513566848468,149.95440951450001,35.80469053022907,152.97817673425,26.03172450978883,4.503283402325,0.032373550079919516,0.8202534364261169,0.8199822148093391,0.826
SVM,0.3,1,0.7587099578925,0.00625799313586559,0.7711517220175,0.00583042401272697,0.764930839955,145.45438148175,33.70663613836707,153.07879679024998,36.46344804634256,149.266589136,24.628307565877652,5.2988518606,0.03776595797215195,0.8522366522366521,0.845439413369195,0.8459999999999999
SVM,0.3,2,0.76704077098,0.006448250563756925,0.776591520145,0.006105034900577033,0.7718161455625,131.87577428875002,31.68963138620147,149.130618495,35.70931597388155,140.503196391875,23.634618651002537,5.468739599975,0.039900140489767616,0.8450707070707072,0.8438034306213682,0.845
SVM,0.3,3,0.7653073504725001,0.006063623854135838,0.7470747569875,0.006234184919429484,0.7561910537300001,148.05227877074998,36.04538386647398,150.86265299325,35.5432375400963,149.45746588199998,25.367550044241572,5.9114188117249995,0.04335122527886144,0.8198019801980199,0.8246210178477649,0.8239999999999998
SVM,0.3,4,0.76059659109,0.006311817416748409,0.76681701389,0.006081502944216759,0.76370680249,143.95532282975003,34.63260228536404,147.44941998625,35.42891052699992,145.702371408,24.47896312798171,5.461130784625,0.03969651341247089,0.8363168316831683,0.8369665757266311,0.837
GB,0.3,0,0.7682394415525,0.005908050846033395,0.763725888785,0.006040068725394886,0.7659826651687499,157.93975004975,36.72605900874291,153.29368679324998,36.757156885380105,155.6167184215,26.082529477981456,4.8930571527,0.03572289130267058,0.7995060137457044,0.79700563027925,0.8030000000000002
GB,0.3,1,0.7898591411150001,0.005803897322129161,0.78675468689,0.006086121213996722,0.7883069140025,152.1032881995,35.94969131152244,155.86569422125,37.17663390741446,153.98449121037498,25.630718007922418,4.63784889275,0.033890566166092775,0.8279323850752422,0.8289144028093087,0.8309999999999998
GB,0.3,2,0.7867327896074999,0.006050144818750264,0.796782401465,0.005764421983286984,0.7917575955362499,144.46791242825,33.87920637219225,156.94102238825,36.58928846938884,150.70446740825,25.330448824330947,4.40919618495,0.03303380911931151,0.8147878787878788,0.8144045734643923,0.8159999999999998
