sep,B,flip_y,seed,E1_err,E2_err,E4_err,E5_err,mu_Se_std
1.0,5,0.1,0,0.28800000000000003,0.2975163958052016,0.065,0.158,0.04487320756856529
1.0,5,0.1,1,0.09,0.10138246931130299,0.036000000000000004,0.022199999999999998,0.04374823957104599
1.0,5,0.1,2,0.20199999999999999,0.1854136717967689,0.008999999999999994,0.08759999999999998,0.04464269843822458
1.0,5,0.1,3,0.144,0.14091422495156966,0.017,0.05679999999999999,0.04339708918569815
1.0,5,0.1,4,0.17600000000000002,0.1598369168141611,0.0030000000000000027,0.0738,0.04467678005373022
1.0,5,0.2,0,0.196,0.1869057578904414,0.049000000000000016,0.060799999999999965,0.04415287333402569
1.0,5,0.2,1,0.04099999999999998,0.030902699993935023,0.11200000000000002,0.04180000000000003,0.045207212849620294
1.0,5,0.2,2,0.10099999999999998,0.10927310148633868,0.083,0.0015999999999999903,0.042840309709990546
1.0,5,0.2,3,0.09199999999999997,0.085479124161281,0.099,0.01200000000000001,0.04431312868908062
1.0,5,0.2,4,0.134,0.14305450992230034,0.066,0.01680000000000001,0.044388006331410976
1.0,5,0.3,0,0.173,0.1915753665627375,0.08099999999999999,0.009599999999999997,0.04574386882797971
1.0,5,0.3,1,0.019000000000000017,0.0024535840564611777,0.191,0.10039999999999999,0.043436223305717496
1.0,5,0.3,2,0.07700000000000001,0.09433738778690776,0.13899999999999998,0.05199999999999999,0.04470121509030422
1.0,5,0.3,3,0.06,0.058200343486984274,0.16699999999999998,0.0632,0.04513369444538827
1.0,5,0.3,4,0.08500000000000002,0.08617701427598706,0.155,0.04760000000000003,0.043670423496593065
1.0,5,0.4,0,0.12,0.14025760188387804,0.16000000000000003,0.05380000000000007,0.04606675081448971
1.0,5,0.4,1,0.04600000000000004,0.0679559264258689,0.29100000000000004,0.189,0.046907235493910876
1.0,5,0.4,2,0.05499999999999999,0.04663640314539319,0.23,0.11540000000000006,0.04386311212168568
1.0,5,0.4,3,0.009999999999999953,0.024873965568962375,0.22600000000000003,0.13540000000000002,0.04429723865150062
1.0,5,0.4,4,0.01200000000000001,0.10209175486670491,0.23800000000000002,0.13780000000000003,0.04554401911959597
1.0,10,0.1,0,0.253,0.23114959836266882,0.01100000000000001,0.11859999999999998,0.02331609710466773
1.0,10,0.1,1,0.061,0.05560430706210859,0.064,0.001999999999999988,0.021439053132008445
1.0,10,0.1,2,0.154,0.1341798565820671,0.04900000000000001,0.05299999999999999,0.021753031474633595
1.0,10,0.1,3,0.11599999999999999,0.0993797404209816,0.058,0.03559999999999999,0.021477361461102778
1.0,10,0.1,4,0.13499999999999998,0.11825258704250749,0.058,0.0446,0.022942503940186574
1.0,10,0.2,0,0.16699999999999998,0.14846237739395018,0.11200000000000002,0.025999999999999995,0.02330768847093339
1.0,10,0.2,1,0.00799999999999998,0.007930625639429145,0.164,0.07340000000000002,0.022118339215569865
1.0,10,0.2,2,0.066,0.05933394213153459,0.137,0.026600000000000013,0.022238855223562684
1.0,10,0.2,3,0.05299999999999999,0.04135621308443449,0.15000000000000002,0.0408,0.02184388941694727
1.0,10,0.2,4,0.08899999999999997,0.08348657161073919,0.14200000000000002,0.02200000000000002,0.02239726246240981
1.0,10,0.3,0,0.07500000000000001,0.06860669736296116,0.207,0.06539999999999999,0.02341298399192008
1.0,10,0.3,1,0.02799999999999997,0.04262274741251931,0.243,0.1296,0.023094643675168957
1.0,10,0.3,2,0.01200000000000001,0.004061523189063165,0.22799999999999998,0.099,0.023666903057968217
1.0,10,0.3,3,0.03700000000000003,0.01706032286053888,0.21799999999999997,0.0884,0.02267491352846489
1.0,10,0.3,4,0.039000000000000035,0.034885888687014976,0.207,0.0864,0.023393505556851414
1.0,10,0.4,0,0.046999999999999986,0.01849727378535565,0.29300000000000004,0.12680000000000002,0.023375624105608016
1.0,10,0.4,1,0.10300000000000004,0.12447599449484936,0.34700000000000003,0.22280000000000003,0.024267370110534956
1.0,10,0.4,2,0.008000000000000007,0.02158928754994338,0.30400000000000005,0.15639999999999998,0.023340233226721744
1.0,10,0.4,3,0.050000000000000044,0.06527649972490962,0.316,0.18520000000000003,0.0224865567620176
1.0,10,0.4,4,0.04600000000000004,0.06404763815038961,0.322,0.17920000000000003,0.023731536708963146
1.0,15,0.1,0,0.223,0.20458272929540647,0.05500000000000001,0.09679999999999997,0.015517263220776435
1.0,15,0.1,1,0.056999999999999995,0.04710394031136758,0.079,0.004600000000000007,0.014071569158620999
1.0,15,0.1,2,0.134,0.1147019724708134,0.07100000000000001,0.03939999999999999,0.014725850640435566
1.0,15,0.1,3,0.1,0.0949457471631511,0.08,0.024400000000000005,0.014633604418701969
1.0,15,0.1,4,0.123,0.11068250299462659,0.07300000000000001,0.034999999999999976,0.014885919635523433
1.0,15,0.2,0,0.14799999999999996,0.1284866906475685,0.14200000000000002,0.015199999999999991,0.015224082161627711
1.0,15,0.2,1,0.010000000000000009,0.022826233322103623,0.18000000000000002,0.08520000000000003,0.015272912581381637
1.0,15,0.2,2,0.06,0.04609110009973516,0.161,0.03860000000000002,0.014889875635587205
1.0,15,0.2,3,0.043999999999999984,0.02596475827502301,0.17600000000000002,0.054800000000000015,0.013785166704120234
1.0,15,0.2,4,0.08499999999999996,0.06572290021149158,0.15700000000000003,0.02560000000000001,0.015267530638600443
1.0,15,0.3,0,0.07800000000000001,0.048297903891836025,0.22999999999999998,0.07219999999999999,0.01599412349816908
1.0,15,0.3,1,0.03999999999999998,0.054534459134000735,0.266,0.1412,0.015811185161640522
1.0,15,0.3,2,0.0010000000000000009,0.014357994273550723,0.255,0.11399999999999999,0.01560169289939414
1.0,15,0.3,3,0.02300000000000002,0.007324269528148797,0.23299999999999998,0.09799999999999998,0.015548102940990481
1.0,15,0.3,4,0.02300000000000002,0.000730647730895817,0.244,0.10420000000000001,0.015740372229896472
1.0,15,0.4,0,0.021999999999999964,0.006472619518322342,0.326,0.14240000000000003,0.015448560179279019
1.0,15,0.4,1,0.121,0.13462990419279464,0.35900000000000004,0.22820000000000001,0.01566321600824471
1.0,15,0.4,2,0.028000000000000025,0.04587110657501303,0.333,0.17160000000000003,0.01555617951631098
1.0,15,0.4,3,0.064,0.08587326777821042,0.339,0.19740000000000002,0.015387244829800712
1.0,15,0.4,4,0.068,0.08311685930576507,0.35000000000000003,0.19460000000000005,0.016089412947133702
