flip_y,seed,N_original,mu_Se_oracle,mu_Sp_oracle,std_Se_oracle,E1_LR,collapse,n_type_A,fraction_removed,frac_A_LR,frac_B_LR,frac_C_LR,mu_Se_noisy,mu_Sp_noisy,std_Se_noisy,N_clean,mu_Se_clean,mu_Sp_clean,std_Se_clean,skip_reason
0.0000,0,1000,0.9315,0.9213,0.0024,0.1070,False,100,0.1000,0.1000,0.0050,0.8950,0.9315,0.9213,0.0025,900,0.9423,0.9367,0.0023,
0.0000,1,1000,0.9562,0.9607,0.0020,0.0030,False,3,0.0030,0.0030,0.0000,0.9970,0.9570,0.9616,0.0019,997,0.9596,0.9631,0.0018,
0.0000,2,1000,0.9489,0.9525,0.0021,0.0290,False,29,0.0290,0.0290,0.0000,0.9710,0.9488,0.9525,0.0021,971,0.9583,0.9612,0.0018,
0.0000,3,1000,0.9550,0.9530,0.0020,0.0200,False,20,0.0200,0.0200,0.0000,0.9800,0.9549,0.9530,0.0019,980,0.9589,0.9581,0.0018,
0.0000,4,1000,0.9373,0.9425,0.0024,0.0450,False,44,0.0440,0.0440,0.0000,0.9560,0.9373,0.9425,0.0023,956,0.9494,0.9503,0.0021,
0.0000,5,1000,0.9527,0.9497,0.0020,0.0110,False,11,0.0110,0.0110,0.0000,0.9890,0.9527,0.9497,0.0020,989,0.9572,0.9562,0.0019,
0.0500,0,1000,0.9314,0.9212,0.0024,0.1280,False,122,0.1220,0.1220,0.0030,0.8750,0.9045,0.9013,0.0028,878,0.9417,0.9355,0.0022,
0.0500,1,1000,0.9562,0.9606,0.0020,0.0280,False,28,0.0280,0.0280,0.0000,0.9720,0.9237,0.9262,0.0026,972,0.9594,0.9624,0.0019,
0.0500,2,1000,0.9489,0.9525,0.0021,0.0530,False,53,0.0530,0.0530,0.0000,0.9470,0.9242,0.9297,0.0026,947,0.9605,0.9628,0.0018,
0.0500,3,1000,0.9549,0.9530,0.0019,0.0450,False,45,0.0450,0.0450,0.0000,0.9550,0.9268,0.9184,0.0025,955,0.9583,0.9562,0.0019,
0.0500,4,1000,0.9373,0.9424,0.0023,0.0690,False,69,0.0690,0.0690,0.0000,0.9310,0.9071,0.9130,0.0029,931,0.9499,0.9498,0.0020,
0.0500,5,1000,0.9528,0.9498,0.0020,0.0310,False,31,0.0310,0.0310,0.0000,0.9690,0.9225,0.9219,0.0026,969,0.9565,0.9558,0.0020,
