flip_y,seed,N_original,mu_Se_oracle,mu_Sp_oracle,std_Se_oracle,E1_LR,collapse,n_type_A,fraction_removed,frac_A_LR,frac_B_LR,frac_C_LR,mu_Se_noisy,mu_Sp_noisy,std_Se_noisy,N_clean,mu_Se_clean,mu_Sp_clean,std_Se_clean,skip_reason
0.1000,0,1000,0.9315,0.9213,0.0024,0.1420,False,133,0.1330,0.1330,0.0050,0.8620,0.8884,0.8838,0.0031,867,0.9363,0.9318,0.0024,
0.1000,1,1000,0.9562,0.9606,0.0020,0.0610,False,61,0.0610,0.0610,0.0000,0.9390,0.8992,0.8970,0.0030,939,0.9601,0.9616,0.0018,
0.1000,2,1000,0.9489,0.9525,0.0021,0.0900,False,86,0.0860,0.0860,0.0030,0.9110,0.8868,0.8836,0.0032,914,0.9551,0.9601,0.0020,
0.1000,3,1000,0.9550,0.9530,0.0019,0.0750,False,74,0.0740,0.0740,0.0000,0.9260,0.8989,0.8806,0.0030,926,0.9593,0.9560,0.0018,
0.1000,4,1000,0.9373,0.9425,0.0024,0.0900,False,89,0.0890,0.0890,0.0000,0.9110,0.8902,0.8970,0.0031,911,0.9499,0.9498,0.0021,
0.1000,5,1000,0.9528,0.9498,0.0019,0.0590,False,57,0.0570,0.0570,0.0020,0.9410,0.8918,0.8998,0.0032,943,0.9557,0.9556,0.0020,
0.1500,0,1000,0.9314,0.9213,0.0024,0.1610,False,150,0.1500,0.1500,0.0060,0.8440,0.8595,0.8724,0.0036,850,0.9361,0.9329,0.0023,
0.1500,1,1000,0.9569,0.9615,0.0019,0.0890,False,89,0.0890,0.0890,0.0000,0.9110,0.8778,0.8741,0.0033,911,0.9579,0.9611,0.0019,
0.1500,2,1000,0.9489,0.9525,0.0021,0.1070,False,105,0.1050,0.1050,0.0000,0.8950,0.8742,0.8746,0.0032,895,0.9562,0.9589,0.0019,
0.1500,3,1000,0.9549,0.9530,0.0020,0.1110,False,108,0.1080,0.1080,0.0030,0.8890,0.8742,0.8682,0.0034,892,0.9582,0.9568,0.0019,
0.1500,4,1000,0.9373,0.9425,0.0023,0.1310,False,130,0.1300,0.1300,0.0010,0.8690,0.8578,0.8663,0.0035,870,0.9502,0.9485,0.0020,
0.1500,5,1000,0.9527,0.9498,0.0020,0.0880,False,88,0.0880,0.0880,0.0000,0.9120,0.8698,0.8672,0.0034,912,0.9554,0.9542,0.0019,
0.2000,0,1000,0.9315,0.9213,0.0024,0.1700,False,156,0.1560,0.1560,0.0070,0.8370,0.8566,0.8598,0.0036,844,0.9313,0.9260,0.0024,
0.2000,1,1000,0.9562,0.9606,0.0019,0.1140,False,111,0.1110,0.1110,0.0010,0.8880,0.8623,0.8571,0.0035,889,0.9595,0.9614,0.0018,
0.2000,2,1000,0.9489,0.9525,0.0022,0.1220,False,121,0.1210,0.1210,0.0010,0.8780,0.8637,0.8660,0.0035,879,0.9580,0.9608,0.0019,
0.2000,3,1000,0.9549,0.9530,0.0020,0.1080,False,104,0.1040,0.1040,0.0030,0.8930,0.8749,0.8603,0.0034,896,0.9574,0.9555,0.0019,
0.2000,4,1000,0.9373,0.9424,0.0023,0.1600,False,157,0.1570,0.1570,0.0000,0.8430,0.8413,0.8415,0.0037,843,0.9467,0.9438,0.0021,
0.2000,5,1000,0.9528,0.9498,0.0020,0.1160,False,114,0.1140,0.1140,0.0020,0.8840,0.8423,0.8469,0.0037,886,0.9560,0.9553,0.0019,
0.2500,0,1000,0.9315,0.9213,0.0025,0.2010,False,188,0.1880,0.1880,0.0040,0.8080,0.8241,0.8365,0.0038,812,0.9288,0.9234,0.0026,
0.2500,1,1000,0.9562,0.9606,0.0020,0.1400,False,139,0.1390,0.1390,0.0010,0.8600,0.8459,0.8392,0.0038,861,0.9580,0.9612,0.0020,
0.2500,2,1000,0.9489,0.9525,0.0021,0.1480,False,144,0.1440,0.1440,0.0030,0.8530,0.8453,0.8445,0.0038,856,0.9578,0.9622,0.0019,
0.2500,3,1000,0.9549,0.9529,0.0020,0.1530,False,150,0.1500,0.1500,0.0020,0.8480,0.8398,0.8263,0.0038,850,0.9533,0.9521,0.0020,
0.2500,4,1000,0.9374,0.9425,0.0023,0.1910,False,185,0.1850,0.1850,0.0050,0.8100,0.8240,0.8328,0.0038,815,0.9482,0.9444,0.0021,
0.2500,5,1000,0.9528,0.9497,0.0020,0.1320,False,130,0.1300,0.1300,0.0000,0.8700,0.8411,0.8432,0.0038,870,0.9492,0.9533,0.0021,
0.3000,0,1000,0.9315,0.9213,0.0024,0.2210,False,209,0.2090,0.2090,0.0060,0.7850,0.8137,0.8149,0.0038,791,0.9207,0.9227,0.0027,
0.3000,1,1000,0.9562,0.9606,0.0019,0.1610,False,160,0.1600,0.1600,0.0010,0.8390,0.8240,0.8253,0.0038,840,0.9567,0.9607,0.0019,
0.3000,2,1000,0.9489,0.9526,0.0021,0.1770,False,171,0.1710,0.1710,0.0040,0.8250,0.8257,0.8302,0.0039,829,0.9549,0.9574,0.0020,
0.3000,3,1000,0.9549,0.9529,0.0020,0.1940,False,192,0.1920,0.1920,0.0010,0.8070,0.8176,0.8050,0.0041,808,0.9578,0.9554,0.0019,
0.3000,4,1000,0.9373,0.9424,0.0024,0.2140,False,206,0.2060,0.2060,0.0050,0.7890,0.8137,0.8155,0.0041,794,0.9463,0.9445,0.0022,
0.3000,5,1000,0.9527,0.9498,0.0020,0.1580,False,156,0.1560,0.1560,0.0010,0.8430,0.8218,0.8311,0.0039,844,0.9536,0.9547,0.0020,
