arch,seed,flip_y,acc_ens,nll,brier,ece,pred_var,mean_entropy,mean_discordance,frac_A_proxy,cv_acc,cv_recall,cv_f1,mu_avg,kappa_avg,mu_Se,mu_Sp,kappa_Se,kappa_Sp
GB,0,0.0,0.951,0.6979135078003785,0.0481113065004733,0.023519397798044652,0.0005973929070966884,0.003000165155462536,0.048708699407569986,0.048,0.8320000000000001,0.8160000000000001,0.8298112321893131,0.8111138138450001,160.53437255400002,0.8315879901075001,0.7906396375825,161.01303187425,160.05571323375
GB,0,0.1,0.914,1.1444261124209385,0.0839884698695358,0.04721993935627017,0.0022627434868143295,0.011023614382800903,0.10973137679952892,0.107,0.748,0.7191683168316831,0.7413832319343506,0.7197853920025,151.46261156650002,0.730816611855,0.7087541721499999,142.13763971575,160.78758341725
GB,0,0.3,0.738,3.4937429553665886,0.25821360602775506,0.1604041024626706,0.004492227354520382,0.021952628889588453,0.08856739134745226,0.082,0.533,0.4957290132547864,0.5069111019699255,0.63526297196375,152.820418078875,0.6312427601375,0.6392831837899999,147.68341842325,157.9574177345
GB,0,0.5,0.491,7.439053414560052,0.5050223156905077,0.20044723732338346,0.00532167777941112,0.025657606284206783,0.06249280391272282,0.055,0.494,0.4627147766323023,0.4669683154326713,0.61611238320875,147.3756657655,0.60653167416,0.6256930922575,144.26426807275,150.48706345825
GB,1,0.0,0.984,0.24038133308504558,0.015965570625298117,0.0019826287252331888,1.7070528933693906e-05,0.00012675412822330011,0.015982641154231814,0.016,0.934,0.95,0.9350272809040238,0.8984683736237499,169.374752050625,0.8900409063550001,0.9068958408925,168.08194157775,170.6675625235
GB,1,0.1,0.942,0.7926900406887828,0.055815435250799496,0.019841845084734515,0.0017987764151307876,0.008344885924243641,0.09233532381582314,0.09,0.8,0.8228888888888889,0.8032259392818524,0.7727567589937501,155.65638795625,0.766295449985,0.7792180680025,161.73268660475,149.58008930775
GB,1,0.3,0.788,2.802377224516367,0.20437794057948025,0.10903931350221058,0.004950752836682087,0.02259115309622678,0.13758375969446968,0.13,0.591,0.5212094064949608,0.5463409325593526,0.659282670325,151.09714379075,0.635125793125,0.6834395475249999,149.000457063,153.1938305185
GB,1,0.5,0.481,7.690756322285149,0.5155249366022168,0.2075770149629683,0.004572899373689768,0.022682349776751043,0.09002086888174927,0.085,0.526,0.4710051546391752,0.4902475900900412,0.62306189438875,147.80118322487502,0.6182752877575,0.62784850102,151.53661100575002,144.06575544400002
GB,2,0.0,0.979,0.3121792239121129,0.02114984574539218,0.004690855689128117,0.0006576037923977516,0.002903354720964455,0.021807449537789927,0.021,0.912,0.906,0.9111546857821768,0.8884926968550001,167.32171682937502,0.8822659071875001,0.8947194865225001,165.1462498155,169.49718384325004
GB,2,0.1,0.947,0.7518822984412229,0.0523419092270253,0.022009623841251935,0.0016897748228700165,0.007285234818776987,0.09742260907690624,0.093,0.789,0.7855959595959596,0.7872774709467987,0.7749903059900001,150.82868722525,0.7662569264575,0.7837236855224999,146.80545045399998,154.85192399650003
