dataset,n_samples,n_features,prevalence,arch,flip_y,seed,mu_Se,mu_Sp,mu_avg,kappa_avg,f_A,f_B,f_C,acc_cv,f1_cv,recall_cv,recall_inflation,convergence_ok
breast_cancer,569,30,0.6274165202108963,LR,0.1,0,0.80322389633,0.7946687341199999,0.798946315225,92.982490777625,0.1195079086115993,0.0,0.8804920913884007,0.8628629094861047,0.8936496808222566,0.9316297786720324,0.12840588234203243,False
breast_cancer,569,30,0.6274165202108963,LR,0.0,0,0.9465330529925,0.9509618693225,0.9487474611575,168.87356563525,0.0123022847100175,0.0,0.9876977152899824,0.9806862288464524,0.9847673174099156,0.9915884194053208,0.04505536641282082,False
breast_cancer,569,30,0.6274165202108963,LR,0.0,1,0.951192179545,0.95489150759,0.9530418435675,169.820841811,0.0123022847100175,0.0,0.9876977152899824,0.9806862288464524,0.9847673174099156,0.9915884194053208,0.040396239860320815,False
breast_cancer,569,30,0.6274165202108963,LR,0.0,2,0.955195200735,0.959416712615,0.957305956675,170.21927096849998,0.0123022847100175,0.0,0.9876977152899824,0.9806862288464524,0.9847673174099156,0.9915884194053208,0.03639321867032086,False
breast_cancer,569,30,0.6274165202108963,LR,0.0,3,0.948064288065,0.95235764435,0.9502109662075,169.58367728912503,0.0123022847100175,0.0,0.9876977152899824,0.9806862288464524,0.9847673174099156,0.9915884194053208,0.04352413134032085,False
breast_cancer,569,30,0.6274165202108963,RF,0.0,0,0.9508745562775,0.9481071363525,0.949490846315,169.57256103112502,0.0052724077328646,0.0,0.9947275922671354,0.9631113181183046,0.970721364701985,0.9747261345852894,0.0238515783077895,False
breast_cancer,569,30,0.6274165202108963,RF,0.0,1,0.9499425744975,0.946694179235,0.94831837686625,169.25270246050002,0.0052724077328646,0.0,0.9947275922671354,0.9631113181183046,0.970721364701985,0.9747261345852894,0.02478356008778948,False
breast_cancer,569,30,0.6274165202108963,RF,0.0,2,0.9472224288975,0.9432274415825,0.94522493524,168.46385073174997,0.0052724077328646,0.0,0.9947275922671354,0.9631113181183046,0.970721364701985,0.9747261345852894,0.02750370568778948,False
breast_cancer,569,30,0.6274165202108963,RF,0.0,3,0.950004012515,0.94669964919,0.9483518308525,169.51170565312498,0.0052724077328646,0.0,0.9947275922671354,0.9631113181183046,0.970721364701985,0.9747261345852894,0.024722122070289454,False
breast_cancer,569,30,0.6274165202108963,SVM,0.0,0,0.95849958653,0.9539660186025,0.95623280256625,163.7156713375,0.0123022847100175,0.0,0.9876977152899824,0.9736376339077782,0.9791133579231952,0.9831377151799688,0.024638128649968838,False
breast_cancer,569,30,0.6274165202108963,SVM,0.0,1,0.966720777055,0.9639776326,0.9653492048275,164.820628357625,0.0123022847100175,0.0,0.9876977152899824,0.9736376339077782,0.9791133579231952,0.9831377151799688,0.016416938124968805,False
breast_cancer,569,30,0.6274165202108963,SVM,0.0,2,0.95901313979,0.954862969405,0.9569380545975,163.41596436987498,0.0123022847100175,0.0,0.9876977152899824,0.9736376339077782,0.9791133579231952,0.9831377151799688,0.024124575389968816,False
breast_cancer,569,30,0.6274165202108963,SVM,0.0,3,0.9528800688425,0.9477091902425,0.9502946295425,162.845272094625,0.0123022847100175,0.0,0.9876977152899824,0.9736376339077782,0.9791133579231952,0.9831377151799688,0.030257646337468858,False
breast_cancer,569,30,0.6274165202108963,GB,0.0,0,0.9514983591425,0.9482701649375,0.94988426204,167.498240841125,0.0035149384885764,0.0,0.9964850615114236,0.9631268436578172,0.9706196402685257,0.9747261345852894,0.023227775442789422,False
breast_cancer,569,30,0.6274165202108963,GB,0.0,1,0.9513123475975,0.9485373904925,0.949924869045,167.02723223625003,0.0035149384885764,0.0,0.9964850615114236,0.9631268436578172,0.9706196402685257,0.9747261345852894,0.023413786987789398,False
breast_cancer,569,30,0.6274165202108963,GB,0.0,2,0.95134855421,0.948471496545,0.9499100253775,167.124611391625,0.0035149384885764,0.0,0.9964850615114236,0.9631268436578172,0.9706196402685257,0.9747261345852894,0.023377580375289475,False
