channel,pi_01,pi_10,arch,seed,mu_Se,mu_Sp,mu_avg,asym_score,kappa_Se,kappa_Sp,f_A,f_A_class0,f_A_class1,f_B,f_C,cv_acc,cv_f1,cv_recall,convergence_ok,rhat_max,ess_min
sym_low,0.1,0.1,LR,0,0.6950903137175001,0.6629560226175,0.6790231681675001,-0.023662146288071225,148.460795466,143.140018813,0.229,0.19675456389452334,0.2603550295857988,0.0,0.771,0.75,0.7485195892783917,0.7356047369442826,False,,
sym_low,0.1,0.1,LR,1,0.7644969755300001,0.78922545496,0.7768612152450001,0.015915635205372942,141.16729985925002,126.94222469675,0.13,0.14940239043824702,0.11044176706827309,0.0,0.87,0.8549999999999999,0.8552841163910122,0.8633535353535354,False,,
sym_low,0.1,0.1,LR,2,0.7507016461349999,0.719544399915,0.7351230230249999,-0.02119185852090262,136.15205078325002,140.27109910275001,0.163,0.12650602409638553,0.199203187250996,0.0,0.837,0.827,0.8233778934771401,0.8047128712871287,False,,
sym_low,0.1,0.1,LR,3,0.7581696050625001,0.7690264192874999,0.763598012175,0.00710898538549542,140.760099885,136.35125097325,0.148,0.15247524752475247,0.14343434343434344,0.0,0.852,0.8319999999999999,0.8301180187818344,0.8343434343434344,False,,
sym_low,0.1,0.1,RF,0,0.8208291745725,0.8125780949975,0.8167036347850001,-0.0050514527048240165,159.03758438424998,157.796517013,0.011,0.014198782961460446,0.007889546351084813,0.0,0.989,0.8380000000000001,0.8347969565393019,0.8086973403222675,False,,
sym_low,0.1,0.1,RF,1,0.844700162305,0.846938553075,0.8458193576899999,0.0013232085245660505,163.26135425150002,160.0823083345,0.011,0.00597609561752988,0.01606425702811245,0.0,0.989,0.875,0.8758779558693247,0.8874545454545455,False,,
sym_low,0.1,0.1,RF,2,0.83429603621,0.833745549255,0.8340207927325001,-0.0003300199224448957,159.545124488,156.80359588049998,0.017,0.020080321285140562,0.013944223107569721,0.0,0.983,0.8539999999999999,0.8523962263002278,0.8425346534653466,False,,
sym_low,0.1,0.1,RF,3,0.8376442996725,0.8436482404525,0.8406462700624999,0.003571026833903985,159.89590963275,156.679264487,0.017,0.01782178217821782,0.01616161616161616,0.0,0.983,0.853,0.8484818224371977,0.8404040404040405,False,,
sym_low,0.1,0.1,SVM,0,0.806008477145,0.77442160643,0.7902150417875,-0.019986249960240503,151.830300582,147.39784075949999,0.128,0.11359026369168357,0.14201183431952663,0.0,0.872,0.8480000000000001,0.8463578335326825,0.8264802950883323,False,,
sym_low,0.1,0.1,SVM,1,0.8152072175925,0.8351009144874999,0.82515406604,0.012054534844878877,154.76494514574998,140.3147636655,0.104,0.11752988047808766,0.09036144578313253,0.0,0.896,0.883,0.8843942547444836,0.9014747474747475,False,,
sym_low,0.1,0.1,SVM,2,0.7986779644125,0.785551278615,0.79211462151375,-0.008285849946898361,144.40568034050003,139.16433652049997,0.114,0.10642570281124498,0.12151394422310757,0.0,0.886,0.859,0.8589324885665824,0.8565742574257426,False,,
sym_low,0.1,0.1,SVM,3,0.80251130256,0.7997110301350001,0.8011111663475001,-0.0017477427234096822,135.16093072275,143.13577098949997,0.111,0.10891089108910891,0.11313131313131314,0.0,0.889,0.873,0.8699282217417975,0.8646464646464646,False,,
sym_low,0.1,0.1,GB,0,0.789587276905,0.7548555641025,0.77222142050375,-0.022488182701118905,155.73202688375002,147.8094800565,0.095,0.06288032454361055,0.126232741617357,0.0,0.905,0.8,0.7964969825197794,0.7752086973403223,False,,
sym_low,0.1,0.1,GB,1,0.8304194202449999,0.82802743526,0.8292234277524999,-0.001442304271383638,153.63570155975,150.706192763,0.078,0.07171314741035857,0.08433734939759036,0.0,0.922,0.8699999999999999,0.8706705234696719,0.8794545454545455,False,,
sym_low,0.1,0.1,GB,2,0.814056857205,0.8130629506175001,0.81355990391125,-0.0006108379863060807,144.8376937375,152.9224035585,0.091,0.09236947791164658,0.08964143426294821,0.0,0.909,0.8459999999999999,0.8444312070055782,0.8345940594059407,False,,
