class_sep,flip_y,seed,E1,E2,E4,E5,E1_err,E2_err,E4_err,E5_err,type_C_frac
0.5,0.5,4,0.464,0.43905646487703787,0.044,0.28099999999999997,0.035999999999999976,0.060943535122962134,0.456,0.21900000000000003,0.531
0.5,0.5,5,0.397,0.38496874461976993,0.032,0.2438,0.10299999999999998,0.11503125538023007,0.46799999999999997,0.2562,0.6
1.0,0.0,0,0.283,0.2808418153741511,0.014,0.1742,0.283,0.2808418153741511,0.014,0.1742,0.715
1.0,0.0,1,0.097,0.09299941937663435,0.004,0.057999999999999996,0.097,0.09299941937663435,0.004,0.057999999999999996,0.902
1.0,0.0,2,0.168,0.1649999996164464,0.007,0.1018,0.168,0.1649999996164464,0.007,0.1018,0.832
1.0,0.0,3,0.165,0.16000031304390366,0.007,0.09999999999999999,0.165,0.16000031304390366,0.007,0.09999999999999999,0.835
1.0,0.0,4,0.173,0.17009839089782308,0.01,0.10660000000000001,0.173,0.17009839089782308,0.01,0.10660000000000001,0.825
1.0,0.0,5,0.121,0.11899171158527092,0.008,0.07459999999999999,0.121,0.11899171158527092,0.008,0.07459999999999999,0.879
1.0,0.05,0,1.0,0.28783185939279987,1.0,0.5746,0.95,0.23783185939279988,0.95,0.5246,0.0
1.0,0.05,1,0.113,0.11199998647761367,0.002,0.06799999999999999,0.063,0.061999986477613664,0.048,0.017999999999999988,0.886
1.0,0.05,2,0.178,0.17497773600652794,0.006,0.10799999999999998,0.128,0.12497773600652794,0.044000000000000004,0.05799999999999998,0.822
1.0,0.05,3,0.181,0.17200001967548278,0.01,0.10959999999999999,0.131,0.12200001967548278,0.04,0.059599999999999986,0.817
1.0,0.05,4,0.194,0.18500002468791332,0.014,0.1184,0.14400000000000002,0.13500002468791333,0.036000000000000004,0.0684,0.805
1.0,0.05,5,0.134,0.1340000037704667,0.004,0.082,0.084,0.0840000037704667,0.046,0.032,0.866
1.0,0.1,0,0.3,0.29000002140753844,0.015,0.1812,0.19999999999999998,0.19000002140753844,0.085,0.0812,0.698
1.0,0.1,1,0.145,0.14399999677310824,0.002,0.08719999999999999,0.044999999999999984,0.04399999677310823,0.098,0.01280000000000002,0.854
