arch,flip_y,seed,mu_Se,mu_Se_std,mu_Sp,mu_Sp_std,mu_avg,kappa_Se,kappa_Se_std,kappa_Sp,kappa_Sp_std,kappa_avg,kappa_avg_std,kappa_obs,kappa_obs_std,cv_recall,cv_f1,cv_acc
LR,0.1,0,0.5370361137899999,0.006443495393373506,0.619131301365,0.006720111730408531,0.5780837075775,172.2054366315,39.876981674406096,165.08583059024997,38.901331252360634,168.645633610875,27.594906728966944,19.77515085975,0.14929083582564465,0.5816326530612245,0.6606981384423556,0.707
LR,0.1,1,0.6870419290099999,0.006227430125336993,0.6282400850400001,0.006560119135980584,0.657641007025,164.09369164375,38.72720867106883,172.03965985225,40.12779160647566,168.06667574799997,27.89537813999242,11.67878819075,0.08510033344963383,0.884,0.8324428361879092,0.8220000000000001
LR,0.1,2,0.6355911211575,0.006894072836859445,0.6642752179300001,0.006315477098579953,0.64993316954375,161.72131369075,38.55707067885774,165.1241935815,38.70740288420808,163.422753636125,26.84988850627583,8.5275883473,0.06271190346476363,0.7584158415841584,0.7598032376593606,0.758
LR,0.1,3,0.70556576105,0.006213505905230182,0.645101869605,0.006543014139603874,0.6753338153275,162.07251854025003,37.474593952373134,167.73457311475,39.64510775844101,164.9035458275,26.919165085760646,8.630002499824998,0.06258467986397512,0.8490196078431372,0.8053641026029036,0.79
LR,0.1,4,0.6156017539425,0.006641790985887288,0.6237148407675,0.006528780069651396,0.6196582973550001,170.56006999849998,40.36506237366164,171.89374310775003,40.24782059075605,171.22690655312502,28.597419984917916,14.553103512000002,0.10558993409417801,0.8264554455445545,0.7882747884112534,0.779
RF,0.1,0,0.5595391972875,0.007153871897222669,0.5610716021474998,0.0069771687650487905,0.5603053997175,149.62235743500003,35.0395083990008,149.639790962,35.985104178279556,149.63107419850002,25.212645345251307,36.90196533975001,0.2656313392347933,0.5448979591836733,0.6163450018212735,0.669
RF,0.1,1,0.5692794005974999,0.007290897577388192,0.564464626415,0.007024688548090958,0.56687201350625,147.28689049374998,34.6754495932763,148.92208957725,34.95810010620902,148.1044900355,24.62684157606111,37.55940377025001,0.27561589921935103,0.724,0.7281071734520352,0.7289999999999999
RF,0.1,2,0.570548626785,0.006929273378721603,0.5794715051774999,0.006808378594012941,0.57501006598125,152.58015049949998,36.5860014742546,158.9604681305,36.219002610451824,155.77030931500002,25.77626626813276,35.80618582775,0.27246872888351625,0.8237623762376238,0.7662600523418638,0.7470000000000001
RF,0.1,3,0.5994258297924999,0.00712304373569798,0.576135106815,0.006973904482258216,0.58778046830375,145.88630349875004,34.92016396874876,155.40612209675,37.00611183535052,150.64621279775002,25.74080382498927,31.23499877875,0.22496228751754213,0.7725490196078431,0.7797927260695994,0.7769999999999999
RF,0.1,4,0.5816401685925,0.007172797618824196,0.593642179265,0.00685048711951968,0.58764117392875,144.39084434950001,33.56495708063025,156.70979495225004,36.718651741017915,150.550319650875,24.702255802408125,25.820002752499995,0.1886274421051249,0.7766534653465347,0.7334047945079575,0.7200000000000001
