noise,Classic Accuracy (RF),Classic Recall (RF),Classic Precision (RF),BTD Latent Se (RF),BTD Latent Sp (RF),BTD kappa_Se (RF),BTD kappa_Sp (RF),Classic Accuracy (LR),Classic Recall (LR),Classic Precision (LR),BTD Latent Se (LR),BTD Latent Sp (LR),BTD kappa_Se (LR),BTD kappa_Sp (LR)
0.0,0.8777777777777778,0.8547059033202566,0.8957723170669099,0.85479645072,0.85156273662,221.60097983000003,219.32997624675,0.7692222222222223,0.7583104168816578,0.7745760760862695,0.72854701963,0.701034563575,203.88928275324997,190.88667834925
0.03103448275862069,0.8713333333333332,0.8487546507987396,0.8890441560393733,0.8491958506425,0.8481332236525,225.14608286475,226.11310307349999,0.7711111111111111,0.7579268999677669,0.7786026984654274,0.713767345675,0.694744138835,186.60574369525,201.24340409675003
0.06206896551724138,0.8698888888888889,0.8459358518689287,0.8866470156370382,0.8444225739599999,0.84250229402,230.42944389125,226.56511340925,0.7596666666666667,0.7475024222632674,0.7631631337474275,0.6946331568099999,0.675414872435,203.97948756275,201.5390082485
0.09310344827586206,0.8532222222222222,0.8329552264357235,0.8666053430298783,0.8398149880775,0.8358106017074999,218.504007624,216.92995065250003,0.7511111111111112,0.7405792260361816,0.7549396831533275,0.6989250893275,0.67715224492,196.68055168325,186.152944534
0.12413793103448276,0.8420000000000002,0.8159670552612865,0.8629483107613676,0.8304686005075,0.8298576401800001,219.18121933575,215.91772496975,0.7457777777777779,0.7287265747322782,0.7580559392100064,0.6874439566049999,0.665412878555,197.925738469,187.36234451225
0.15517241379310345,0.8266666666666665,0.7988928058022007,0.8489544402915643,0.8249660637849999,0.822729234715,215.67320010999998,221.22881801749998,0.7356666666666666,0.7205310506672896,0.747943562310873,0.66814387461,0.6590240236025,197.07231153524998,202.81398759099997
0.18620689655172412,0.8137777777777777,0.7877696953642478,0.8333974998951371,0.816651062285,0.8103977406199999,218.03394559249998,212.6191083465,0.7253333333333334,0.7161724031026723,0.7316870871458526,0.6666914478675,0.6426689514575,188.57470425575002,183.39407449650002
0.21724137931034482,0.7963333333333332,0.776384661603745,0.8143231940246755,0.8096309458650001,0.8056795337924999,223.06565960474998,220.12530005125,0.7184444444444444,0.7144956187305798,0.7267497172854817,0.65981334794,0.6377805992450001,196.0348978415,191.75525489675
0.2482758620689655,0.7888888888888889,0.7650047797831504,0.8045737927020513,0.80273470239,0.802716763355,218.7096327975,220.05346742625,0.7017777777777778,0.6903233414764475,0.707823762179995,0.6459207897125,0.6228219227949999,189.99290613075,196.05424199025
0.2793103448275862,0.7614444444444444,0.7478574575031038,0.7702635965225947,0.7973299203174999,0.7858781200574999,220.86861051725,213.69611442975003,0.6881111111111112,0.6848918822897413,0.691222433352492,0.64105386849,0.611716763715,201.87011686125,194.208363541
