class_sep,flip_y,seed,phi_true,phi_btd_lr,phi_cl,bias_btd,bias_cl,btd_precision,btd_recall,btd_f1,btd_auc,cl_precision,cl_recall,cl_f1,cl_auc,jaccard_btd_cl,btd_rhat_max,btd_neff_min,btd_converged,btd_source
1.0,0.1,0,0.106,0.3,0.313,0.194,0.20700000000000002,0.2577639751552795,0.7830188679245284,0.3878504672897196,0.7578405301591322,0.2523961661341853,0.7452830188679245,0.37708830548926014,0.7417690262124857,0.8405797101449275,,,True,cache_posteriors
1.0,0.1,1,0.121,0.145,0.154,0.023999999999999994,0.033,0.5789473684210527,0.9090909090909091,0.707395498392283,0.9090391974351019,0.6558441558441559,0.8347107438016529,0.7345454545454545,0.8872074765652179,0.7916666666666666,,,True,cache_posteriors
1.0,0.1,2,0.101,0.212,0.205,0.11099999999999999,0.10399999999999998,0.3605150214592275,0.8316831683168316,0.5029940119760479,0.8329717287635325,0.3902439024390244,0.7920792079207921,0.5228758169934641,0.8265179131928766,0.8403361344537815,,,True,cache_posteriors
1.0,0.1,3,0.084,0.191,0.167,0.107,0.083,0.3348623853211009,0.8690476190476191,0.48344370860927155,0.855375337908089,0.38922155688622756,0.7738095238095238,0.5179282868525896,0.8312279060095654,0.7579908675799086,,,True,cache_posteriors
1.0,0.1,4,0.104,0.207,0.196,0.103,0.09200000000000001,0.3472803347280335,0.7980769230769231,0.4839650145772595,0.8119848901098902,0.3622448979591837,0.6826923076923077,0.47333333333333333,0.7715916895604396,0.7827868852459017,,,True,cache_posteriors
1.0,0.1,5,0.119,0.206,0.159,0.087,0.04000000000000001,0.46116504854368934,0.7983193277310925,0.5846153846153846,0.8361630690868856,0.5534591194968553,0.7394957983193278,0.6330935251798561,0.829452779976917,0.7632850241545893,,,False,fresh
1.0,0.15,0,0.153,0.331,0.34,0.17800000000000002,0.18700000000000003,0.32326283987915405,0.6993464052287581,0.44214876033057854,0.7174417976557014,0.3235294117647059,0.7189542483660131,0.4462474645030426,0.7237038065915072,0.8184281842818428,,,False,fresh
1.0,0.15,1,0.163,0.213,0.194,0.04999999999999999,0.031,0.6572769953051644,0.8588957055214724,0.7446808510638298,0.8858397285074506,0.6907216494845361,0.8220858895705522,0.7507002801120448,0.8752006508784661,0.85,,,False,fresh
1.0,0.15,2,0.148,0.269,0.251,0.12100000000000002,0.10300000000000001,0.44609665427509293,0.8108108108108109,0.5755395683453237,0.8179640908514147,0.46215139442231074,0.7837837837837838,0.581453634085213,0.8126665397792159,0.8637992831541219,,,False,fresh
1.0,0.15,3,0.122,0.242,0.196,0.12,0.07400000000000001,0.4297520661157025,0.8524590163934426,0.5714285714285714,0.8476418088800928,0.4897959183673469,0.7868852459016393,0.6037735849056604,0.836495014750364,0.7661290322580645,,,False,fresh
1.0,0.15,4,0.163,0.276,0.262,0.11300000000000002,0.099,0.4673913043478261,0.7914110429447853,0.5876993166287016,0.807891901400708,0.46564885496183206,0.7484662576687117,0.5741176470588235,0.7906011097184659,0.8361774744027304,,,False,fresh
1.0,0.15,5,0.167,0.248,0.212,0.08099999999999999,0.044999999999999984,0.5524193548387096,0.8203592814371258,0.6602409638554216,0.8435529900582989,0.6084905660377359,0.7724550898203593,0.6807387862796834,0.8364076169389911,0.8181818181818182,,,False,fresh
1.0,0.2,0,0.197,0.343,0.378,0.14600000000000002,0.181,0.40816326530612246,0.7106598984771574,0.5185185185185185,0.7289289529745687,0.37566137566137564,0.7208121827411168,0.49391304347826087,0.7134571499010689,0.8025,,,False,fresh
1.0,0.2,1,0.212,0.263,0.255,0.05100000000000002,0.04300000000000001,0.7072243346007605,0.8773584905660378,0.783157894736842,0.8898213772627143,0.6941176470588235,0.8349056603773585,0.7580299785867237,0.8679604444018773,0.8768115942028986,,,False,fresh
1.0,0.2,2,0.198,0.294,0.291,0.09599999999999997,0.09299999999999997,0.5374149659863946,0.797979797979798,0.6422764227642277,0.8142018690647119,0.5395189003436426,0.7929292929292929,0.6421267893660532,0.8129234993324768,0.8810289389067524,,,False,fresh
1.0,0.2,3,0.173,0.276,0.277,0.10300000000000004,0.10400000000000004,0.5362318840579711,0.8554913294797688,0.6592427616926503,0.8503575148003438,0.5270758122743683,0.8439306358381503,0.6488888888888888,0.8427633832153267,0.8619528619528619,,,False,fresh
1.0,0.2,4,0.212,0.306,0.314,0.094,0.10200000000000001,0.5359477124183006,0.7735849056603774,0.6332046332046332,0.7966909299875491,0.5127388535031847,0.7594339622641509,0.6121673003802282,0.7826357628579639,0.8618618618618619,,,False,fresh
1.0,0.2,5,0.199,0.274,0.266,0.07500000000000001,0.067,0.6058394160583942,0.8341708542713567,0.7019027484143763,0.8496696967985997,0.6052631578947368,0.8090452261306532,0.6924731182795699,0.8389795419042779,0.8685121107266436,,,False,fresh
1.0,0.3,0,0.31,0.343,0.412,0.03300000000000003,0.10199999999999998,0.0,0.0,0.0,0.5,0.5194174757281553,0.6903225806451613,0.592797783933518,0.7016830294530154,0.0,,,True,cache_posteriors
1.0,0.3,1,0.306,0.238,0.342,-0.068,0.03600000000000003,0.72,0.8235294117647058,0.7682926829268293,0.8411595185624681,0.7309941520467836,0.8169934640522876,0.7716049382716049,0.8422143112768642,0.8804347826086957,,,True,cache_posteriors
1.0,0.3,2,0.299,0.278,0.388,-0.020999999999999963,0.08900000000000002,0.6037234042553191,0.7591973244147158,0.6725925925925926,0.7733219147037916,0.5902061855670103,0.7658862876254181,0.6666666666666666,0.7695337286914538,0.8634146341463415,,,True,cache_posteriors
1.0,0.3,3,0.259,0.282,0.306,0.022999999999999965,0.046999999999999986,0.6261127596439169,0.8146718146718147,0.7080536912751678,0.8223156644209275,0.6437908496732027,0.7606177606177607,0.6973451327433628,0.8067596225490964,0.8424068767908309,,,True,cache_posteriors
1.0,0.3,4,0.336,0.29,0.396,-0.04600000000000004,0.06,0.0,0.0,0.0,0.5,0.6161616161616161,0.7261904761904762,0.6666666666666666,0.748637406769937,0.0,,,True,cache_posteriors
1.0,0.3,5,0.316,0.322,0.345,0.006000000000000005,0.02899999999999997,0.717391304347826,0.7310126582278481,0.7241379310344828,0.7989858612776667,0.6869565217391305,0.75,0.7170953101361573,0.7960526315789473,0.8476454293628809,,,False,fresh
1.5,0.1,0,0.106,0.245,0.22,0.139,0.114,0.35918367346938773,0.8301886792452831,0.5014245014245015,0.8272867333586594,0.38636363636363635,0.8018867924528302,0.5214723926380368,0.825440040521717,0.8379446640316206,,,False,fresh
1.5,0.1,1,0.121,0.146,0.133,0.024999999999999994,0.01200000000000001,0.7945205479452054,0.9586776859504132,0.8689138576779026,0.9622739965588244,0.8571428571428571,0.9421487603305785,0.8976377952755905,0.9602666441015805,0.8851351351351351,,,False,fresh
1.5,0.1,2,0.101,0.173,0.124,0.07199999999999998,0.022999999999999993,0.5433526011560693,0.9306930693069307,0.6861313868613139,0.921408826088393,0.6774193548387096,0.8316831683168316,0.7466666666666667,0.8935946431128096,0.7068965517241379,,,False,fresh
1.5,0.1,3,0.084,0.149,0.101,0.06499999999999999,0.017,0.5436241610738255,0.9642857142857143,0.6952789699570815,0.9450249532127262,0.7227722772277227,0.8690476190476191,0.7891891891891892,0.9192399667290497,0.6778523489932886,,,False,fresh
1.5,0.1,4,0.104,0.18,0.139,0.076,0.03500000000000002,0.5277777777777778,0.9134615384615384,0.6690140845070423,0.9092977335164835,0.5899280575539568,0.7884615384615384,0.6748971193415638,0.8624227335164835,0.7527472527472527,,,False,fresh
1.5,0.1,5,0.119,0.153,0.125,0.034,0.006000000000000005,0.6993464052287581,0.8991596638655462,0.7867647058823529,0.9234731349974724,0.784,0.8235294117647058,0.8032786885245902,0.8964412098551111,0.7935483870967742,,,False,fresh
1.5,0.15,0,0.153,0.273,0.246,0.12000000000000002,0.093,0.45787545787545786,0.8169934640522876,0.5868544600938967,0.8211295537498746,0.491869918699187,0.7908496732026143,0.606516290726817,0.8216349900841879,0.8535714285714285,,,False,fresh
1.5,0.15,1,0.163,0.181,0.175,0.017999999999999988,0.011999999999999983,0.8397790055248618,0.9325153374233128,0.8837209302325582,0.948933893323365,0.8571428571428571,0.9202453987730062,0.8875739644970414,0.9451884102586656,0.9243243243243243,,,False,fresh
1.5,0.15,2,0.148,0.21,0.17,0.062,0.02200000000000002,0.6238095238095238,0.8851351351351351,0.7318435754189944,0.8962060652201497,0.7176470588235294,0.8243243243243243,0.7672955974842768,0.883993148077655,0.8095238095238095,,,False,fresh
